issue,deduction
ssl_invalid,30
slow_load_time,10
mobile_unfriendly,10
flash_elements,15
broken_links,5
outdated_plugins,10
missing_structured_data,5
missing_security_headers,10
no_products,20
no_company_info,15
no_certifications,15
no_testimonials,10
outdated_copyright,5
no_contact_form,10
no_rfq,15
no_ecommerce,10
no_blog,5
no_analytics,10
no_local_seo,10
missing_meta_title,10
missing_meta_description,10
missing_alt_text,5
deep_url_structure,5
few_internal_links,5
no_physical_address,10
no_employee_photos,5
no_online_payments,10
generic_email,5
diy_website,10
no_updates,10
domain_expiring,25
parked_domain,30
